,Модель,Цена,Год выпуска,Пробег,Привод,ЛС,Тип двигателя,Тип кузова,Коробка передач,Объём двигателя,Цвет,Марка,Класс,Налог
675,Opel Astra H Рестайлинг,337000,2008,172606,передний,140,Бензин,хэтчбек 5 дв.,механика,1.8,серебристый,Opel,1,4900
676,Porsche Macan I Рестайлинг,8250000,2021,20732,полный,252,Бензин,внедорожник 5 дв.,робот,2.0,чёрный,Porsche,5,75600
677,Porsche Macan I Рестайлинг,8500000,2021,11890,полный,252,Бензин,внедорожник 5 дв.,робот,2.0,коричневый,Porsche,5,75600
678,"Mercedes-Benz S-Класс 560 Long VI (W222, C217) Рестайлинг",8995000,2018,42447,полный,469,Бензин,седан,автомат,4.0,чёрный,Mercedes-Benz,5,140700
679,Chevrolet Cruze I,597000,2011,201801,передний,109,Бензин,седан,механика,1.6,чёрный,Chevrolet,1,2725
680,LADA (ВАЗ) Largus I,910000,2018,93709,передний,87,Бензин,универсал 5 дв.,механика,1.6,бежевый,LADA,1,1044
681,Honda Civic VI,270000,1996,66666,передний,115,Бензин,седан,механика,1.5,красный,Honda,1,2875
682,Hyundai Santa Fe IV,3290000,2019,89000,полный,200,Дизель,внедорожник 5 дв.,автомат,2.2,серый,Hyundai,4,13000
683,Porsche Cayenne E-Hybrid Coupé III,16649000,2022,64,полный,340,Гибрид,внедорожник 5 дв.,автомат,3.0,чёрный,Porsche,5,153000
684,Toyota Land Cruiser 200 Series Рестайлинг 2,7790000,2017,127041,полный,249,Дизель,внедорожник 5 дв.,автомат,4.5,чёрный,Toyota,5,18675
685,Lexus LX 450d III Рестайлинг 2,7400000,2018,111079,полный,272,Дизель,внедорожник 5 дв.,автомат,4.5,белый,Lexus,5,81600
686,LADA (ВАЗ) Vesta I,899000,2019,28000,передний,106,Бензин,седан,механика,1.6,серебристый,LADA,1,2650
687,Lexus ES 250 VI,1415000,2012,166232,передний,184,Бензин,седан,автомат,2.5,чёрный,Lexus,2,9200
688,Ford Explorer Sport V,1299000,2013,247349,полный,360,Бензин,внедорожник 5 дв.,автомат,3.5,чёрный,Ford,2,54000
689,Skoda Kodiaq I,3550000,2021,45000,полный,180,Бензин,внедорожник 5 дв.,робот,2.0,серый,Skoda,4,9900
690,Mercedes-Benz GLA 250 I (X156),1780000,2016,83719,полный,211,Бензин,внедорожник 5 дв.,робот,2.0,синий,Mercedes-Benz,3,13715
691,Volkswagen Jetta VI,870000,2013,180100,передний,122,Бензин,седан,робот,1.4,чёрный,Volkswagen,1,3050
692,Honda CR-V III Рестайлинг,1780000,2012,128000,полный,166,Бензин,внедорожник 5 дв.,автомат,2.4,коричневый,Honda,3,7470
693,Hyundai Santa Fe III Рестайлинг,2395000,2018,59000,передний,188,Бензин,внедорожник 5 дв.,автомат,2.4,чёрный,Hyundai,3,9400
694,Hyundai Palisade I,3840000,2019,74000,полный,200,Дизель,внедорожник 5 дв.,автомат,2.2,белый,Hyundai,4,13000
695,Volkswagen Touareg III,5185000,2018,34001,полный,249,Дизель,внедорожник 5 дв.,автомат,3.0,бежевый,Volkswagen,4,37350
696,Volkswagen Touareg III,7190000,2020,49999,полный,286,Дизель,внедорожник 5 дв.,автомат,3.0,чёрный,Volkswagen,5,85800
697,BMW 7 серии 730d xDrive VI (G11/G12) Рестайлинг,11500000,2022,1270,полный,249,Дизель,седан,автомат,3.0,серый,BMW,5,56025
698,Opel Antara I Рестайлинг,930000,2013,175000,полный,167,Бензин,внедорожник 5 дв.,механика,2.4,серебристый,Opel,1,7515
699,Kia Carnival IV,4550000,2020,17731,передний,202,Дизель,минивэн,автомат,2.2,белый,Kia,4,14443
700,Kia Ceed II Рестайлинг,1440000,2017,79000,передний,130,Бензин,универсал 5 дв.,автомат,1.6,белый,Kia,2,4550
701,Mercedes-Benz V-Класс L 300 d длинный II,9300000,2022,82,полный,237,Дизель,минивэн,автомат,2.0,серый,Mercedes-Benz,5,35550
702,Opel Omega B Рестайлинг,65500,2000,173265,задний,144,Бензин,универсал 5 дв.,механика,2.2,чёрный,Opel,1,5040
703,BMW X3 20d xDrive III (G01) Рестайлинг,6399000,2022,6720,полный,190,Дизель,внедорожник 5 дв.,автомат,2.0,серый,BMW,5,19000
704,Nissan Tiida I Рестайлинг,705000,2010,112412,передний,110,Бензин,хэтчбек 5 дв.,автомат,1.6,коричневый,Nissan,1,2750
705,Subaru Forester IV Рестайлинг 2,1470000,2016,114432,полный,150,Бензин,внедорожник 5 дв.,вариатор,2.0,зелёный,Subaru,2,6750
706,Land Rover Defender 90 II,6500000,2021,37273,полный,200,Дизель,внедорожник 3 дв.,автомат,2.0,синий,Land Rover,5,26000
707,Porsche Cayenne Coupé III,14400000,2023,5,полный,340,Бензин,внедорожник 5 дв.,автомат,3.0,серый,Porsche,5,153000
708,Daewoo Matiz I Рестайлинг,130000,2007,141100,передний,52,Бензин,хэтчбек 5 дв.,автомат,0.8,серебристый,Daewoo,1,624
709,Toyota Land Cruiser 200 Series Рестайлинг 1,3480000,2014,173000,полный,235,Дизель,внедорожник 5 дв.,автомат,4.5,чёрный,Toyota,4,17625
710,Opel Insignia I Рестайлинг,803500,2014,218201,передний,140,Бензин,седан,механика,1.8,коричневый,Opel,1,4900
711,Audi A6 45 TDI V (C8),3310000,2018,138016,полный,231,Дизель,универсал 5 дв.,автомат,3.0,серый,Audi,4,17325
712,Cadillac Escalade V,12300000,2020,31161,полный,420,Бензин,внедорожник 5 дв.,автомат,6.2,белый,Cadillac,5,189000
713,Kia Carnival III,2529000,2019,39000,передний,202,Дизель,минивэн,автомат,2.2,белый,Kia,3,13130
714,Volkswagen Jetta VI,1100000,2015,127108,передний,105,Бензин,седан,автомат,1.6,белый,Volkswagen,2,2625
715,Land Rover Range Rover Sport D300 MHEV III,21500000,2022,19,полный,300,Дизель,внедорожник 5 дв.,автомат,3.0,чёрный,Land Rover,5,135000
716,Volkswagen Jetta V,560000,2010,304181,передний,102,Бензин,седан,робот,1.6,чёрный,Volkswagen,1,2550
717,Chevrolet Niva I Рестайлинг,839000,2018,29000,полный,80,Бензин,внедорожник 5 дв.,механика,1.7,чёрный,Chevrolet,1,960
718,"Mercedes-Benz S-Класс 500 VI (W222, C217)",5000000,2014,51816,полный,455,Бензин,седан,автомат,4.7,чёрный,Mercedes-Benz,4,68250
719,Renault Duster I,850000,2012,169745,полный,135,Бензин,внедорожник 5 дв.,механика,2.0,синий,Renault,1,4725
720,Lexus LX 450d III Рестайлинг 2,6100000,2016,149988,полный,272,Дизель,внедорожник 5 дв.,автомат,4.5,белый,Lexus,5,40800
721,Renault Logan II Рестайлинг,820000,2018,28700,передний,82,Бензин,седан,механика,1.6,серый,Renault,1,984
722,Dodge Durango III Рестайлинг,4720000,2019,25000,полный,364,Бензин,внедорожник 5 дв.,автомат,5.7,чёрный,Dodge,4,54600
723,Hyundai Grand Starex I Рестайлинг 2,3249000,2018,85000,полный,175,Дизель,минивэн,автомат,2.5,серый,Hyundai,4,8750
724,Ford Kuga II Рестайлинг,1850000,2018,62875,полный,150,Бензин,внедорожник 5 дв.,автомат,1.5,чёрный,Ford,3,6750
725,УАЗ Pickup I Рестайлинг 2,1099000,2019,139000,полный,150,Бензин,пикап двойная кабина,механика,2.7,серый,УАЗ,2,6750
726,Mazda 6 III (GJ) Рестайлинг,2050000,2017,47900,передний,150,Бензин,седан,автомат,2.0,серый,Mazda,3,6750
727,Land Rover Range Rover Long IV Рестайлинг,7900000,2018,70000,полный,300,Гибрид,внедорожник 5 дв.,автомат,2.0,голубой,Land Rover,5,90000
728,BMW 5 серии 520d xDrive VII (G30/G31),3890000,2020,56000,полный,190,Дизель,универсал 5 дв.,автомат,2.0,белый,BMW,4,10450
729,Nissan Juke I,1065000,2012,114000,полный,190,Бензин,внедорожник 5 дв.,вариатор,1.6,серый,Nissan,2,9500
730,Genesis G90 Limousine I Рестайлинг,12500000,2021,55000,полный,413,Бензин,седан,автомат,5.0,чёрный,Genesis,5,185850
731,Renault Kaptur I Рестайлинг,2200000,2022,840,передний,114,Бензин,внедорожник 5 дв.,вариатор,1.6,белый,Renault,3,2850
732,Toyota Camry VIII (XV70) Рестайлинг,3300000,2021,6800,передний,204,Бензин,седан,автомат,2.5,чёрный,Toyota,4,14586
733,Renault Kaptur I Рестайлинг,1635000,2020,24354,передний,114,Бензин,внедорожник 5 дв.,вариатор,1.6,чёрный,Renault,2,2850
734,Lexus RX 270 III Рестайлинг,1969000,2013,107058,передний,188,Бензин,внедорожник 5 дв.,автомат,2.7,коричневый,Lexus,3,9400
735,BMW 6 серии Gran Turismo 630d xDrive IV (G32) Рестайлинг,7649000,2022,35640,полный,249,Дизель,лифтбек,автомат,3.0,серый,BMW,5,37350
736,BMW X5 40i IV (G05),4749900,2019,100000,полный,340,Бензин,внедорожник 5 дв.,автомат,3.0,белый,BMW,4,51000
737,Volkswagen Jetta VI,950000,2012,108230,передний,122,Бензин,седан,робот,1.4,серый,Volkswagen,1,3050
738,Mercedes-Benz V-Класс L 250 d длинный II,7797000,2020,37861,полный,190,Дизель,минивэн,автомат,2.1,белый,Mercedes-Benz,5,19000
739,Mazda 6 II (GH) Рестайлинг,860000,2010,190610,передний,147,Бензин,седан,автомат,2.0,серый,Mazda,1,5145
740,Nissan X-Trail III Рестайлинг,2815000,2020,74500,полный,171,Бензин,внедорожник 5 дв.,вариатор,2.5,чёрный,Nissan,3,7695
741,Toyota RAV4 V (XA50),3699000,2021,69506,полный,199,Бензин,внедорожник 5 дв.,автомат,2.5,чёрный,Toyota,4,10945
742,Genesis GV80 I,7200000,2021,20000,полный,249,Дизель,внедорожник 5 дв.,автомат,3.0,серый,Genesis,5,37350
743,BMW X5 30d II (E70),1600000,2008,323000,полный,235,Дизель,внедорожник 5 дв.,автомат,3.0,чёрный,BMW,2,17625
744,Toyota Land Cruiser Prado 150 Series Рестайлинг 2,5955000,2019,28439,полный,249,Бензин,внедорожник 5 дв.,автомат,4.0,белый,Toyota,4,37350
745,Toyota Land Cruiser Prado 150 Series Рестайлинг 2,4065000,2018,203590,полный,177,Дизель,внедорожник 5 дв.,автомат,2.8,чёрный,Toyota,4,8850
746,Mercedes-Benz GLS 450 II (X167),10250000,2020,45254,полный,367,Бензин,внедорожник 5 дв.,автомат,3.0,белый,Mercedes-Benz,5,165150
747,Ford Kuga II,1090000,2014,182789,полный,150,Бензин,внедорожник 5 дв.,автомат,1.6,чёрный,Ford,2,6750
748,BMW 7 серии Long 750Li xDrive V (F01/F02/F04) Рестайлинг,1345000,2012,156350,полный,450,Бензин,седан,автомат,4.4,чёрный,BMW,2,67500
749,Renault Sandero I,609000,2013,123873,передний,103,Бензин,хэтчбек 5 дв.,автомат,1.6,чёрный,Renault,1,2575
750,BMW 3 серии 320d VII (G2x),3049000,2019,91569,задний,190,Дизель,седан,автомат,2.0,белый,BMW,3,9500
751,BMW X6 30d II (F16),4290000,2016,85366,полный,249,Дизель,внедорожник 5 дв.,автомат,3.0,белый,BMW,4,18675
752,Mazda 6 I (GG),185000,2004,215000,передний,120,Бензин,лифтбек,механика,1.8,серый,Mazda,1,3000
753,LADA (ВАЗ) Granta I Рестайлинг,726000,2019,73089,передний,106,Бензин,универсал 5 дв.,механика,1.6,серебристый,LADA,1,2650
754,Nissan Sentra VII (B17),753000,2014,139352,передний,117,Бензин,седан,механика,1.6,серый,Nissan,1,2925
755,Audi A5 I (8T),1180000,2010,158256,полный,211,Бензин,лифтбек,робот,2.0,чёрный,Audi,2,13715
756,"Mercedes-Benz E-Класс 200 V (W213, S213, C238)",3709000,2017,71779,полный,184,Бензин,седан,автомат,2.0,чёрный,Mercedes-Benz,4,9200
757,Kia Sorento III Prime,2480000,2016,110054,полный,200,Дизель,внедорожник 5 дв.,автомат,2.2,чёрный,Kia,3,13000
758,Toyota Land Cruiser 200 Series Рестайлинг 1,4418000,2015,202497,полный,235,Дизель,внедорожник 5 дв.,автомат,4.5,чёрный,Toyota,4,17625
759,Ford Kuga II,1350000,2015,158600,полный,150,Бензин,внедорожник 5 дв.,автомат,1.6,белый,Ford,2,6750
760,Volkswagen Touareg II,1665000,2010,283005,полный,240,Дизель,внедорожник 5 дв.,автомат,3.0,серебристый,Volkswagen,2,18000
761,Volkswagen Jetta VI,1124000,2013,88000,передний,105,Бензин,седан,автомат,1.6,серебристый,Volkswagen,2,2625
762,Lexus RX 300 IV Рестайлинг,6790000,2021,36756,полный,238,Бензин,внедорожник 5 дв.,автомат,2.0,синий,Lexus,5,35700
