,Модель,Цена,Год выпуска,Пробег,Привод,ЛС,Тип двигателя,Тип кузова,Коробка передач,Объем двигателя,Цвет,Запас хода
1866,Hyundai Getz I Рестайлинг,349000,2006,95050,передний,97,Бензин,хэтчбек 5 дв.,механика,1.4,серебристый,
1867,Kia Sorento IV,4200000,2020,39000,полный,202,Дизель,внедорожник 5 дв.,робот,2.2,чёрный,
1868,Geely Tugella I,3320000,2021,14536,полный,238,Бензин,внедорожник 5 дв.,автомат,2.0,белый,
1869,Chevrolet Aveo II,520000,2012,203000,передний,115,Бензин,седан,механика,1.6,серебристый,
1870,Kia Sorento IV,5950000,2023,24,полный,199,Дизель,внедорожник 5 дв.,робот,2.2,белый,
1871,Ford Explorer IV,849000,2008,250000,полный,212,Бензин,внедорожник 5 дв.,автомат,4.0,чёрный,
1872,Toyota Land Cruiser Prado 150 Series Рестайлинг 2,5590000,2020,79885,полный,177,Дизель,внедорожник 5 дв.,автомат,2.8,белый,
1873,Hyundai i40 I,1185000,2014,188000,передний,150,Бензин,универсал 5 дв.,автомат,2.0,белый,
1874,Mercedes-Benz GLE 300 d II (V167),5850000,2019,94000,полный,245,Дизель,внедорожник 5 дв.,автомат,2.0,чёрный,
1875,Kia Rio IV Рестайлинг,1120000,2020,42000,передний,100,Бензин,седан,механика,1.4,коричневый,
1876,BMW X5 30d IV (G05),8430000,2020,34600,полный,265,Дизель,внедорожник 5 дв.,автомат,3.0,чёрный,
1877,Kia Optima IV Рестайлинг,1699000,2019,177011,передний,150,Бензин,седан,автомат,2.0,чёрный,
1878,Kia Carnival III,2570000,2019,75100,передний,202,Дизель,минивэн,автомат,2.2,белый,
1879,Opel Antara I Рестайлинг,1050000,2012,138800,полный,167,Бензин,внедорожник 5 дв.,автомат,2.4,бежевый,
1880,Toyota Land Cruiser Prado 150 Series Рестайлинг 2,5040000,2019,67900,полный,177,Дизель,внедорожник 5 дв.,автомат,2.8,белый,
1881,Honda CR-V I,420000,1998,177566,полный,128,Бензин,внедорожник 5 дв.,автомат,2.0,зелёный,
1882,Kia Mohave I Рестайлинг 2,5390000,2021,42423,полный,249,Дизель,внедорожник 5 дв.,автомат,3.0,серый,
1883,Toyota Yaris III Рестайлинг 2,1199000,2017,58000,передний,74,Гибрид,хэтчбек 5 дв.,вариатор,1.5,белый,
1884,Volkswagen Tiguan II,3299000,2019,69420,полный,150,Дизель,внедорожник 5 дв.,робот,2.0,белый,
1885,Hyundai Tucson IV,3519000,2023,11,полный,150,Бензин,внедорожник 5 дв.,автомат,2.0,белый,
1886,Renault Sandero I,730000,2011,55000,передний,103,Бензин,хэтчбек 5 дв.,автомат,1.6,бежевый,
1887,Renault Sandero Stepway II,1040000,2017,34000,передний,102,Бензин,хэтчбек 5 дв.,автомат,1.6,бежевый,
1888,Kia Picanto III,1279000,2020,50000,передний,84,Бензин,хэтчбек 5 дв.,автомат,1.3,голубой,
1889,BMW X6 M50i III (G06),8000000,2020,23546,полный,530,Бензин,внедорожник 5 дв.,автомат,4.4,чёрный,
1890,Skoda Yeti I Рестайлинг,1245000,2015,174000,передний,110,Бензин,внедорожник 5 дв.,автомат,1.6,белый,
1891,Nissan Terrano III (D10),1340000,2017,114233,полный,143,Бензин,внедорожник 5 дв.,автомат,2.0,серебристый,
1892,BMW 3 серии 325xi V (E90/E91/E92/E93),950000,2007,190000,полный,218,Бензин,седан,автомат,2.5,красный,
1893,Renault Sandero I,585000,2011,155000,передний,84,Бензин,хэтчбек 5 дв.,механика,1.6,бежевый,
1894,Geely Tugella I,2760000,2021,91659,полный,238,Бензин,внедорожник 5 дв.,автомат,2.0,белый,
1895,Hyundai Getz I Рестайлинг,349000,2006,95050,передний,97,Бензин,хэтчбек 5 дв.,механика,1.4,серебристый,
1896,Geely Tugella I,3320000,2021,14536,полный,238,Бензин,внедорожник 5 дв.,автомат,2.0,белый,
1897,Bentley Continental GT Speed I,3750000,2008,66000,полный,610,Бензин,купе,автомат,6.0,чёрный,
1898,Mazda 3 I (BK) Рестайлинг,395000,2006,270000,передний,105,Бензин,хэтчбек 5 дв.,автомат,1.6,красный,
1899,Kia Sorento IV,5950000,2023,24,полный,199,Дизель,внедорожник 5 дв.,робот,2.2,белый,
1900,Toyota Land Cruiser Prado 150 Series Рестайлинг 2,5590000,2020,79885,полный,177,Дизель,внедорожник 5 дв.,автомат,2.8,белый,
1901,Kia K5 III,2399999,2020,35700,передний,150,Бензин,седан,автомат,2.0,белый,
1902,Hyundai i40 I,1185000,2014,188000,передний,150,Бензин,универсал 5 дв.,автомат,2.0,белый,
1903,BMW 7 серии 760i xDrive VII (G70),26900000,2022,74,полный,544,Бензин,седан,автомат,4.4,чёрный,
1904,Chevrolet Camaro 10-speed VI Рестайлинг,4800000,2020,7740,задний,335,Бензин,кабриолет,автомат,3.6,белый,
1905,Kia Optima IV Рестайлинг,1699000,2019,177011,передний,150,Бензин,седан,автомат,2.0,чёрный,
1906,Opel Antara I Рестайлинг,1050000,2012,138800,полный,167,Бензин,внедорожник 5 дв.,автомат,2.4,бежевый,
1907,Toyota Land Cruiser Prado 150 Series Рестайлинг 2,5040000,2019,67900,полный,177,Дизель,внедорожник 5 дв.,автомат,2.8,белый,
1908,Kia Mohave I Рестайлинг 2,5390000,2021,42423,полный,249,Дизель,внедорожник 5 дв.,автомат,3.0,серый,
1909,Kia Rio IV Рестайлинг,1120000,2020,42000,передний,100,Бензин,седан,механика,1.4,коричневый,
1910,Hyundai Tucson IV,3519000,2023,11,полный,150,Бензин,внедорожник 5 дв.,автомат,2.0,белый,
1911,Renault Sandero Stepway II,1040000,2017,34000,передний,102,Бензин,хэтчбек 5 дв.,автомат,1.6,бежевый,
1912,Kia Optima III Рестайлинг,1277000,2014,79500,передний,150,Бензин,седан,автомат,2.0,чёрный,
1913,Audi A5 I (8T) Рестайлинг,1640000,2013,122000,полный,211,Бензин,купе,робот,2.0,белый,
1914,Kia Picanto III,1279000,2020,50000,передний,84,Бензин,хэтчбек 5 дв.,автомат,1.3,голубой,
1915,Land Rover Range Rover Sport II Рестайлинг,7837838,2020,32900,полный,249,Дизель,внедорожник 5 дв.,автомат,3.0,серый,
1916,LADA (ВАЗ) Vesta SW I,1255000,2021,53200,передний,106,Бензин,универсал 5 дв.,механика,1.6,синий,
1917,Opel Insignia I,877000,2012,200036,полный,220,Бензин,лифтбек,автомат,2.0,коричневый,
1918,Ford Focus III Рестайлинг,1040000,2019,87381,передний,125,Бензин,универсал 5 дв.,робот,1.6,чёрный,
1919,Toyota Land Cruiser 300 Series,11000000,2022,192,полный,299,Дизель,внедорожник 5 дв.,автомат,3.4,серый,
1920,Kia Soul II Рестайлинг,1800000,2018,39000,передний,150,Бензин,хэтчбек 5 дв.,автомат,2.0,синий,
1921,Toyota Land Cruiser Prado 150 Series Рестайлинг 2,5850000,2020,49583,полный,177,Дизель,внедорожник 5 дв.,автомат,2.8,белый,
1922,Hyundai Creta I Рестайлинг,1820000,2020,32300,передний,123,Бензин,внедорожник 5 дв.,автомат,1.6,серый,
1923,Infiniti QX80 I Рестайлинг 2,6999000,2020,73808,полный,405,Бензин,внедорожник 5 дв.,автомат,5.6,чёрный,
1924,Genesis G70 I,3300000,2020,68648,полный,197,Бензин,седан,автомат,2.0,чёрный,
1925,Mercedes-Benz V-Класс L 250 d длинный II,8270000,2019,59900,полный,190,Дизель,минивэн,автомат,2.1,чёрный,
1926,Volkswagen Polo V Рестайлинг,1220000,2019,88000,передний,110,Бензин,седан,механика,1.6,коричневый,
1927,Chevrolet Cruze I,655000,2011,197000,передний,141,Бензин,седан,механика,1.8,серебристый,
1928,Mercedes-Benz GLE Coupe 350 d II (C167),9599000,2021,31391,полный,249,Дизель,внедорожник 5 дв.,автомат,2.9,чёрный,
1929,Mercedes-Benz G-Класс AMG 65 AMG I (W463) Рестайлинг 2,8000000,2012,147000,полный,612,Бензин,внедорожник 5 дв.,автомат,6.0,чёрный,
1930,Kia Carnival IV,4450000,2020,25382,передний,202,Дизель,минивэн,автомат,2.2,белый,
1931,LADA (ВАЗ) Vesta SW I,1210000,2019,67000,передний,113,Бензин,универсал 5 дв.,вариатор,1.6,чёрный,
1932,Kia Rio IV Рестайлинг,1490000,2021,66000,передний,123,Бензин,седан,автомат,1.6,серебристый,
1933,Infiniti G35 IV,890000,2008,197000,полный,315,Бензин,седан,автомат,3.5,чёрный,
1934,Volkswagen Tiguan II,1960000,2017,116000,полный,150,Бензин,внедорожник 5 дв.,робот,1.4,коричневый,
1935,Toyota Land Cruiser Prado 150 Series Рестайлинг 3,5500000,2021,20465,полный,163,Бензин,внедорожник 5 дв.,автомат,2.7,белый,
1936,Kia Ceed II,1150000,2013,122000,передний,129,Бензин,хэтчбек 5 дв.,автомат,1.6,серебристый,
1937,Volkswagen Passat B6,420000,2008,212000,передний,160,Бензин,седан,автомат,1.8,синий,
1938,Dodge RAM IV (DS/DJ),2550000,2012,135000,полный,396,Бензин,пикап двойная кабина,автомат,5.7,серебристый,
1939,Geely Tugella I,3320000,2021,14536,полный,238,Бензин,внедорожник 5 дв.,автомат,2.0,белый,
1940,Infiniti QX80 I Рестайлинг 2,6970000,2020,72200,полный,405,Бензин,внедорожник 5 дв.,автомат,5.6,серый,
1941,"Toyota Corolla XI (E160, E170)",1080000,2014,197000,передний,140,Бензин,седан,вариатор,1.8,белый,
1942,Kia Ceed II,830000,2013,125000,передний,129,Бензин,универсал 5 дв.,механика,1.6,серебристый,
1943,Nissan Almera II (N16) Рестайлинг,185000,2005,300000,передний,98,Бензин,седан,механика,1.5,серый,
1944,Mercedes-Benz GL-Класс AMG 63 AMG,3250000,2014,88660,полный,557,Бензин,внедорожник 5 дв.,автомат,5.5,чёрный,
1945,LADA (ВАЗ) Largus I,1125000,2020,120000,передний,106,Бензин,универсал 5 дв.,механика,1.6,чёрный,
1946,Daewoo Nexia I Рестайлинг,275000,2011,97610,передний,80,Бензин,седан,механика,1.5,чёрный,
1947,Hyundai Elantra VI (AD),1500000,2017,60000,передний,150,Бензин,седан,автомат,2.0,серый,
1948,SsangYong Kyron I Рестайлинг,790000,2011,136000,полный,141,Дизель,внедорожник 5 дв.,механика,2.0,чёрный,
1949,LADA (ВАЗ) Vesta SW Cross I,1300000,2020,59500,передний,113,Бензин,универсал 5 дв.,вариатор,1.6,синий,
1950,Ford Focus II Рестайлинг,485000,2010,138304,передний,125,Бензин,хэтчбек 5 дв.,механика,1.8,синий,
1951,BMW 3 серии 325xi V (E90/E91/E92/E93),950000,2007,190000,полный,218,Бензин,седан,автомат,2.5,красный,
